ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
8.433811582,0,0,0,9,81,0,1,NMM,27
8.433811582,0,0,0,9,81,0,1,NMM,27
8.29404964,0,0,0,0,0,0,0,NMM,18
8.853665428,0,0,0,7,49,0,1,NMM,27
8.29404964,1,0,0,5,25,1,1,NMM,27
8.699514748,0,0,0,19,361,0,0,NMM,30
8.853665428,0,0,0,20,400,0,0,NMM,31
7.696212639,0,1,0,17,289,0,0,NMM,32
8.517193191,0,0,0,18,324,1,0,NMM,33
8.411832676,0,0,0,7,49,0,1,NMM,25
8.779557456,0,0,0,10,100,0,0,NMM,28
8.517193191,0,0,0,16,256,1,1,NMM,31
8.824677891,0,0,0,17,289,1,1,NMM,35
8.476371197,0,0,0,11,121,1,1,NMM,31
8.070906089,0,0,0,20,400,1,0,NMM,35
8.476371197,0,0,0,13,169,1,1,NMM,31
8.342839804,0,0,0,10,100,1,1,NMM,31
8.366370302,0,0,0,20,400,1,0,NMM,35
8.006367568,0,0,0,20,400,1,0,NMM,31
8.29404964,0,0,0,7,49,1,0,NMM,22
8.188689124,0,0,0,24,576,0,0,NMM,35
8.29404964,0,0,0,3,9,0,1,NMM,21
8.006367568,0,0,0,0,0,0,1,NMM,18
8.517193191,0,0,0,13,169,0,1,NMM,24
8.242756346,0,0,0,4,16,1,1,NMM,22
8.699514748,0,0,0,10,100,0,1,NMM,25
8.29404964,0,0,0,9,81,0,0,NMM,24
8.006367568,0,0,0,5,25,1,0,NMM,23
8.006367568,0,0,0,23,529,0,0,NMM,34
8.160518247,0,0,0,23,529,0,0,NMM,34
8.006367568,0,0,0,10,100,0,0,NMM,25
8.411832676,0,0,0,10,100,0,0,NMM,25
8.006367568,0,0,0,6,36,0,0,NMM,21
8.29404964,0,0,0,7,49,0,0,NMM,22
8.517193191,0,0,0,20,400,0,0,NMM,35
8.517193191,0,0,0,17,289,0,0,NMM,32
8.006367568,0,0,0,12,144,0,0,NMM,23
8.788745882,0,0,0,10,100,1,1,RRD,28
8.651724084,0,0,0,24,576,1,0,RRD,35
9.045465729,0,1,0,16,256,0,1,RRD,34
9.296518068,0,1,0,12,144,0,1,RRD,30
8.29404964,1,0,0,1,1,0,0,RRD,23
8.987196821,0,0,0,6,36,0,1,RRD,27
8.342839804,0,0,0,0,0,0,0,RRD,18
8.455317788,0,0,0,10,100,1,1,RRD,25
8.612503371,0,0,0,19,361,0,0,RRD,30
8.517193191,0,0,0,12,144,1,1,RRD,30
8.699514748,0,0,0,2,4,0,1,Coast,17
8.779557456,0,0,0,22,484,0,1,Coast,33
8.699514748,0,0,0,11,121,0,0,Coast,26
8.006367568,0,0,0,6,36,0,0,Coast,17
8.29404964,0,0,0,9,81,0,0,Coast,24
8.171882006,0,0,0,2,4,0,0,Coast,17
8.5754621,0,0,0,18,324,0,0,Coast,33
8.517193191,0,0,0,18,324,0,0,Coast,33
